word,count,happiness,kind
absolutely,212,6.3,review
amazing,674,7.66,review
i,15436,5.92,review
wanted,382,5.08,review
to,12864,4.98,review
lick,2,5.4,review
my,5178,6.16,review
plate,127,5.72,review
so,2888,5.08,review
and,18958,5.22,review
delicious,756,7.92,review
also,1108,5.42,review
had,3149,4.74,review
the,26335,4.98,review
fish,201,6.58,review
po,29,4.64,review
boy,60,6.24,review
wished,14,6.73,review
tried,379,5.48,review
on,3849,5.56,review
first,749,6.82,review
day,592,6.24,review
of,7316,4.94,review
trip,134,7.0,review
as,2158,5.22,review
would,1446,5.38,review
have,3178,5.82,review
eaten,69,6.5,review
here,1665,5.48,review
everyday,16,5.74,review
use,219,5.64,review
be,2331,5.68,review
great,2143,7.88,review
but,3848,4.24,review
going,527,5.42,review
down,466,3.66,review
hill,32,5.98,review
got,982,5.6,review
a,13593,5.24,review
salad,399,6.64,review
for,6166,5.22,review
carry,25,5.2,review
out,1832,4.62,review
was,9621,4.6,review
rotten,7,2.58,review
are,2538,5.16,review
not,3110,3.86,review
good,2332,7.2,review
they,4592,5.62,review
either,152,5.1,review
stars,311,7.1,review
bc,14,4.78,review
beers,78,6.1,review
need,307,4.84,review
step,39,5.32,review
it,7552,5.02,review
up,1420,6.14,review
love,756,8.42,review
everything,512,5.96,review
is,6027,5.18,review
there,2137,5.1,review
black,66,4.88,review
bean,39,5.8,review
bowl,93,5.42,review
homey,9,5.82,review
sauce,406,6.04,review
point,189,5.42,review
service,1705,6.0,review
always,730,6.48,review
too,745,5.22,review
that,4537,4.94,review
monday,46,4.3,review
honestly,84,7.02,review
family,271,7.72,review
comes,148,5.58,review
regular,115,5.7,review
basis,17,5.38,review
just,1662,5.76,review
chicken,687,6.4,review
we,4767,6.38,review
never,716,3.34,review
been,1095,5.04,review
impressed,109,7.24,review
husband,254,6.62,review
usually,182,5.66,review
get,1471,5.92,review
course,131,5.42,review
today,206,6.22,review
added,87,5.78,review
even,950,5.58,review
happy,308,8.3,review
spot,293,5.26,review
quick,232,6.02,review
min,67,4.76,review
drive,184,6.08,review
away,290,4.22,review
thanks,91,7.4,review
food,2583,7.44,review
daughters,10,7.36,review
were,2866,4.86,review
in,5959,5.5,review
nashville,120,5.82,review
weekend,109,8.0,review
fell,27,3.22,review
with,4522,5.72,review
this,4252,5.06,review
restaurant,718,7.06,review
simply,57,6.42,review
fabulous,57,7.38,review
atmosphere,303,6.3,review
friendly,770,7.66,review
our,1924,6.08,review
favorite,331,7.04,review
loved,252,7.96,review
every,408,5.64,review
part,155,4.98,review
fantastic,213,7.78,review
variety,110,6.78,review
prices,286,4.38,review
wonderful,218,7.76,review
owners,56,5.74,review
you,3908,6.24,review
couldn,222,4.49,review
t,3604,4.84,review
ask,252,5.2,review
more,948,6.24,review
unique,92,6.98,review
fun,240,7.96,review
everyone,289,6.12,review
should,306,5.24,review
try,627,6.02,review
at,2511,4.9,review
least,185,4.0,review
once,248,4.94,review
perfect,342,7.42,review
if,1693,4.66,review
town,203,5.88,review
guests,45,6.14,review
kids,158,7.38,review
families,10,7.54,review
feel,336,5.9,review
like,1555,7.22,review
ve,949,4.92,review
back,1482,5.18,review
s,3145,5.04,review
western,5,6.1,review
style,102,6.76,review
no,1096,3.48,review
super,353,7.68,review
over,696,4.82,review
top,262,6.76,review
he,1231,5.42,review
which,1197,4.94,review
cooked,222,6.54,review
perfectly,141,7.28,review
beans,115,6.0,review
nothing,280,3.9,review
write,58,5.8,review
about,1214,5.16,review
d,350,4.72,review
give,394,6.54,review
solid,88,5.92,review
went,713,4.88,review
early,115,5.66,review
dinner,388,7.4,review
large,228,6.06,review
open,228,6.1,review
dining,190,6.48,review
room,396,5.52,review
loud,97,4.34,review
plenty,110,6.98,review
did,749,5.58,review
mention,49,5.32,review
really,1131,5.84,review
into,364,5.04,review
lunch,401,7.42,review
meat,249,6.2,review
paid,119,7.14,review
steak,209,6.62,review
cheese,536,6.88,review
knowing,23,6.72,review
only,981,4.92,review
thing,300,5.58,review
could,711,5.52,review
stomach,22,5.4,review
ok,217,5.94,review
wouldn,164,4.4,review
pay,189,5.3,review
myself,136,6.3,review
staff,809,5.36,review
seem,115,5.24,review
all,1740,6.22,review
bad,317,2.64,review
attitudes,10,5.86,review
hey,30,6.06,review
wont,14,4.08,review
them,1044,4.92,review
some,977,5.02,review
time,1626,5.74,review
now,429,5.9,review
excellent,343,8.18,review
clean,290,6.9,review
professional,131,6.44,review
take,468,5.18,review
their,1492,5.16,review
do,858,5.76,review
an,1390,4.84,review
job,237,5.96,review
gotten,50,5.42,review
many,393,5.82,review
different,310,5.38,review
styles,15,6.22,review
each,246,5.4,review
one,1498,5.4,review
has,800,5.18,review
well,846,6.68,review
three,210,5.72,review
weeks,104,5.06,review
highly,294,6.6,review
recommend,555,5.64,review
enjoyed,240,8.02,review
pulled,55,4.76,review
pork,198,4.98,review
both,403,5.9,review
tender,71,6.45,review
smoke,48,3.16,review
flavor,276,6.88,review
hot,340,5.02,review
n,81,4.82,review
sweet,294,7.64,review
voodoo,4,3.86,review
pit,12,4.3,review
smoked,32,4.86,review
awesome,315,7.6,review
full,257,6.22,review
through,237,5.62,review
looking,333,5.94,review
forward,100,6.1,review
next,427,5.62,review
soon,133,6.34,review
tony,14,5.52,review
asia,4,6.22,review
raises,3,6.66,review
very,2105,6.12,review
fast,190,6.44,review
gave,225,6.26,review
me,1980,6.58,review
way,499,5.24,review
usual,36,5.22,review
order,878,5.22,review
new,681,6.82,review
location,423,5.68,review
oh,141,4.84,review
restaurants,193,6.62,review
truly,79,6.86,review
mostly,57,5.8,review
located,86,5.86,review
old,259,3.98,review
modern,38,6.48,review
king,33,6.18,review
menu,590,6.2,review
options,245,6.24,review
sharing,22,7.06,review
place,2256,5.56,review
prepared,100,6.74,review
share,67,6.78,review
your,1026,5.6,review
meal,416,7.18,review
friends,274,7.92,review
portions,127,5.64,review
size,119,5.04,review
two,566,5.4,review
want,466,5.7,review
side,364,5.12,review
dishes,179,5.36,review
corn,77,6.64,review
bread,238,6.34,review
sure,480,6.32,review
few,462,4.5,review
times,420,5.58,review
haven,91,6.54,review
waited,199,4.32,review
long,318,4.74,review
or,1331,4.98,review
felt,186,5.48,review
after,817,5.08,review
finishing,16,6.22,review
suggestion,13,5.84,review
owner,182,6.1,review
maybe,198,4.7,review
sort,39,5.28,review
door,160,5.38,review
enter,21,5.84,review
by,940,4.98,review
